id,title,description,partition_date
1,Wireless Bluetooth Headphones,High-quality wireless headphones with noise cancellation and 30-hour battery life,2025-02-11
2,Smartphone Case - Premium Leather,Handcrafted genuine leather case with magnetic closure and card slots,2025-02-11
3,Portable Bluetooth Speaker,Waterproof portable speaker with 360-degree sound and 12-hour playback,2025-02-11
4,USB-C Fast Charging Cable,3-foot braided cable with 100W power delivery and data transfer speeds,2025-02-11
5,Wireless Charging Pad,Qi-compatible charging pad with LED indicator and non-slip surface,2025-02-11
6,Laptop Stand - Adjustable,Aluminum laptop stand with 6 adjustable angles and cable management,2025-02-11
7,Mechanical Gaming Keyboard,RGB backlit keyboard with Cherry MX switches and programmable macros,2025-02-11
8,4K Webcam with Microphone,Ultra HD webcam with built-in noise-canceling microphone and privacy cover,2025-02-11
9,Portable Power Bank 20000mAh,High-capacity power bank with USB-C and wireless charging capabilities,2025-02-11
10,Wireless Gaming Mouse,Ergonomic gaming mouse with 25K DPI sensor and customizable RGB lighting,2025-02-11
11,Monitor Stand - Dual Arm,Adjustable dual monitor stand with cable management and VESA compatibility,2025-02-11
12,Bluetooth Earbuds - Sport,Waterproof earbuds with secure fit and 8-hour battery life,2025-02-11
13,USB Hub - 7-Port,Powered USB hub with individual switches and LED indicators,2025-02-11
14,Desk Lamp - LED Smart,Smart LED desk lamp with touch controls and adjustable color temperature,2025-02-11
15,External SSD 1TB,Ultra-fast external SSD with USB 3.2 Gen 2 and hardware encryption,2025-02-11
16,Wireless Presenter Remote,Professional presentation remote with laser pointer and USB receiver,2025-02-11
17,Monitor Privacy Filter,Anti-glare privacy filter with 180-degree viewing angle protection,2025-02-11
18,Ergonomic Office Chair,Adjustable office chair with lumbar support and breathable mesh back,2025-02-11
19,Document Scanner - Portable,Portable scanner with auto-feed and wireless connectivity,2025-02-11
20,Tablet Stand - Foldable,Lightweight foldable stand compatible with tablets up to 12 inches,2025-02-11
